# C = 100 
#
# t1 = 1.0
# t2 = 3.0
# t3 = 5.0
# t4 = 6.0
#
0.2                      t1                        t2                        t3                        t4                        :           sum
0                        0                        0                        0                        0                        :                      0
1                        1.0                      0                        0                        0                        :                    1.0
2                        2.0                      0                        0                        0                        :                    2.0
3                        2.77778                  0.22222                  0                        0                        :                    3.0
4                        3.27273                  0.72727                  0                        0                        :                    4.0
5                        3.59008                  1.30548                  0.10444                  0                        :                    5.0
6                        3.76105                  1.76759                  0.3928                   0.07856                  :           6.000000000000001
7                        3.85663                  2.08296                  0.75744                  0.30298                  :                7.00001
8                        3.99129                  2.31574                  1.08834                  0.60463                  :                    8.0
9                        4.15526                  2.55846                  1.38182                  0.90446                  :                    9.0
10                       4.30171                  2.85373                  1.65573                  1.18884                  :               10.00001
11                       4.42413                  3.1632                   1.94764                  1.46503                  :                   11.0
12                       4.51843                  3.43967                  2.28185                  1.76005                  :                   12.0
13                       4.5974                   3.67611                  2.62837                  2.09812                  :                   13.0
14                       4.68363                  3.89172                  2.96259                  2.46206                  :                   14.0
15                       4.77324                  4.1112                   3.28733                  2.82823                  :           15.000000000000002
16                       4.8562                   4.34263                  3.60838                  3.19279                  :                   16.0
17                       4.93116                  4.57214                  3.93799                  3.5587                   :           16.999989999999997
18                       4.99717                  4.78664                  4.28042                  3.93576                  :           17.999989999999997
19                       5.05902                  4.98655                  4.62349                  4.33094                  :                   19.0
20                       5.12222                  5.17975                  4.96152                  4.73651                  :                   20.0
21                       5.18451                  5.37393                  5.29695                  5.14461                  :                   21.0
22                       5.24332                  5.5697                   5.63226                  5.55472                  :                   22.0
23                       5.29844                  5.76132                  5.97181                  5.96844                  :           23.000010000000003
24                       5.34992                  5.94513                  6.3152                   6.38974                  :               23.99999
25                       5.39981                  6.12257                  6.65744                  6.82018                  :                   25.0
26                       5.44944                  6.29706                  6.99764                  7.25587                  :           26.000010000000003
27                       5.4977                   6.47099                  7.33713                  7.69418                  :           26.999999999999996
28                       5.54393                  6.6437                   7.67707                  8.1353                   :                   28.0
29                       5.58815                  6.81281                  8.01892                  8.58012                  :                   29.0
30                       5.63059                  6.97749                  8.36165                  9.03026                  :           29.999989999999997
31                       5.67213                  7.13885                  8.70335                  9.48567                  :                   31.0
32                       5.713                    7.29835                  9.0442                   9.94445                  :                   32.0
33                       5.75273                  7.45667                  9.38484                  10.40577                 :               33.00001
34                       5.79118                  7.61317                  9.72581                  10.86985                 :               34.00001
35                       5.8284                   7.76694                  10.06748                 11.33718                 :                   35.0
36                       5.8646                   7.91798                  10.40909                 11.80834                 :               36.00001
37                       5.90011                  8.06692                  10.75001                 12.28296                 :                   37.0
38                       5.93495                  8.21439                  11.09051                 12.76015                 :                   38.0
39                       5.96892                  8.36051                  11.4309                  13.23967                 :                   39.0
40                       6.00201                  8.50491                  11.7714                  13.72168                 :                   40.0
41                       6.03429                  8.64727                  12.11202                 14.20642                 :                   41.0
42                       6.06589                  8.78775                  12.45233                 14.69403                 :                   42.0
43                       6.09693                  8.92672                  12.79218                 15.18418                 :           43.000009999999996
44                       6.12737                  9.0644                   13.13175                 15.67647                 :               43.99999
45                       6.15716                  9.20079                  13.47119                 16.17086                 :                   45.0
46                       6.18632                  9.33569                  13.81058                 16.66742                 :               46.00001
47                       6.21489                  9.46904                  14.14982                 17.16625                 :                   47.0
48                       6.24295                  9.60099                  14.48872                 17.66733                 :               47.99999
49                       6.27055                  9.73171                  14.82729                 18.17045                 :                   49.0
50                       6.29765                  9.8613                   15.16562                 18.67542                 :               49.99999
51                       6.32425                  9.98973                  15.50377                 19.18225                 :                   51.0
52                       6.35038                  10.1169                  15.84176                 19.69096                 :                   52.0
53                       6.37606                  10.24285                 16.17951                 20.20158                 :                   53.0
54                       6.40132                  10.36768                 16.51694                 20.71406                 :                   54.0
55                       6.4262                   10.49147                 16.85409                 21.22824                 :                   55.0
56                       6.45068                  10.61426                 17.19101                 21.74406                 :               56.00001
57                       6.47476                  10.73602                 17.52771                 22.26152                 :               57.00001
58                       6.49846                  10.85673                 17.86419                 22.78062                 :                   58.0
59                       6.5218                   10.97644                 18.20041                 23.30135                 :                   59.0
60                       6.54481                  11.0952                  18.53634                 23.82365                 :                   60.0
61                       6.56749                  11.21306                 18.872                   24.34744                 :           60.999990000000004
62                       6.58984                  11.33004                 19.20743                 24.87269                 :           61.99999999999999
63                       6.61186                  11.44612                 19.54263                 25.39939                 :                   63.0
64                       6.63358                  11.56131                 19.87758                 25.92753                 :                   64.0
65                       6.65501                  11.67564                 20.21226                 26.45709                 :                   65.0
66                       6.67615                  11.78916                 20.54667                 26.98802                 :                   66.0
67                       6.69701                  11.90188                 20.88084                 27.52027                 :                   67.0
68                       6.7176                   12.01382                 21.21476                 28.05382                 :                   68.0
69                       6.73792                  12.12498                 21.54843                 28.58867                 :                   69.0
70                       6.75798                  12.23537                 21.88186                 29.12479                 :                   70.0
71                       6.7778                   12.34501                 22.21502                 29.66216                 :               70.99999
72                       6.79737                  12.45394                 22.54793                 30.20076                 :                   72.0
73                       6.81671                  12.56216                 22.88059                 30.74054                 :                   73.0
74                       6.83581                  12.66969                 23.21301                 31.28149                 :                   74.0
75                       6.85469                  12.77652                 23.54519                 31.8236                  :                   75.0
76                       6.87335                  12.88268                 23.87712                 32.36686                 :               76.00001
77                       6.89179                  12.98818                 24.20879                 32.91123                 :               76.99999
78                       6.91003                  13.09304                 24.54022                 33.4567                  :               77.99999
79                       6.92807                  13.19728                 24.87141                 34.00325                 :               79.00001
80                       6.9459                   13.30089                 25.20235                 34.55086                 :                   80.0
81                       6.96354                  13.40388                 25.53306                 35.09952                 :                   81.0
82                       6.98099                  13.50628                 25.86352                 35.64921                 :                   82.0
83                       6.99826                  13.60809                 26.19374                 36.19992                 :               83.00001
84                       7.01534                  13.70932                 26.52372                 36.75162                 :                   84.0
85                       7.03225                  13.80999                 26.85347                 37.3043                  :               85.00001
86                       7.04899                  13.91009                 27.18297                 37.85795                 :                   86.0
87                       7.06555                  14.00965                 27.51225                 38.41255                 :                   87.0
88                       7.08195                  14.10867                 27.84128                 38.9681                  :                   88.0
89                       7.09819                  14.20715                 28.17009                 39.52457                 :                   89.0
90                       7.11427                  14.30512                 28.49866                 40.08195                 :                   90.0
91                       7.1302                   14.40258                 28.827                   40.64023                 :               91.00001
92                       7.14597                  14.49952                 29.15511                 41.19939                 :               91.99999
93                       7.1616                   14.59597                 29.48299                 41.75944                 :                   93.0
94                       7.17708                  14.69194                 29.81064                 42.32034                 :                   94.0
95                       7.19241                  14.78742                 30.13807                 42.8821                  :                   95.0
96                       7.20761                  14.88242                 30.46527                 43.44469                 :               95.99999
97                       7.22267                  14.97696                 30.79225                 44.00812                 :                   97.0
98                       7.23759                  15.07104                 31.119                   44.57236                 :               97.99999
99                       7.25239                  15.16467                 31.44553                 45.13741                 :                   99.0
100                      7.26705                  15.25785                 31.77184                 45.70325                 :               99.99999

0.3                      t1                        t2                        t3                        t4                        :           sum
0                        0                        0                        0                        0                        :                      0
1                        1.0                      0                        0                        0                        :                    1.0
2                        2.0                      0                        0                        0                        :                    2.0
3                        2.897                    0.103                    0                        0                        :                    3.0
4                        3.62646                  0.37354                  0                        0                        :                    4.0
5                        4.18967                  0.78251                  0.02782                  0                        :                    5.0
6                        4.60956                  1.24509                  0.12825                  0.0171                   :           6.000000000000001
7                        4.9138                   1.68708                  0.3151                   0.08403                  :           7.0000100000000005
8                        5.14981                  2.0737                   0.56013                  0.21636                  :           8.000000000000002
9                        5.36031                  2.41144                  0.82793                  0.40033                  :                9.00001
10                       5.55941                  2.72827                  1.09861                  0.61371                  :                   10.0
11                       5.74534                  3.04377                  1.3693                   0.84158                  :               10.99999
12                       5.91403                  3.3582                   1.64803                  1.07974                  :                   12.0
13                       6.06397                  3.66298                  1.94057                  1.33248                  :                   13.0
14                       6.19928                  3.95239                  2.24431                  1.60402                  :                   14.0
15                       6.3258                   4.22757                  2.55369                  1.89294                  :                   15.0
16                       6.44606                  4.49396                  2.86515                  2.19483                  :                   16.0
17                       6.56016                  4.75556                  3.17817                  2.50611                  :                   17.0
18                       6.66756                  5.01249                  3.49452                  2.82542                  :               17.99999
19                       6.76822                  5.263                    3.81523                  3.15356                  :               19.00001
20                       6.86322                  5.50613                  4.13936                  3.4913                   :               20.00001
21                       6.95393                  5.74261                  4.46548                  3.83797                  :           20.999989999999997
22                       7.04098                  5.97405                  4.79278                  4.19219                  :                   22.0
23                       7.12449                  6.20147                  5.12123                  4.55281                  :                   23.0
24                       7.20443                  6.42487                  5.45129                  4.9194                   :               23.99999
25                       7.28096                  6.64385                  5.7831                   5.29209                  :                   25.0
26                       7.35451                  6.85835                  6.11623                  5.67091                  :                   26.0
27                       7.42549                  7.06879                  6.45024                  6.05547                  :               26.99999
28                       7.49414                  7.27575                  6.78491                  6.4452                   :                   28.0
29                       7.56052                  7.47956                  7.12026                  6.83966                  :                   29.0
30                       7.62471                  7.68022                  7.45642                  7.23865                  :                   30.0
31                       7.68682                  7.87769                  7.79334                  7.64215                  :                   31.0
32                       7.74706                  8.07205                  8.13083                  8.05006                  :                   32.0
33                       7.80559                  8.26355                  8.46874                  8.46212                  :                   33.0
34                       7.86251                  8.45242                  8.807                    8.87807                  :                   34.0
35                       7.91788                  8.63879                  9.14563                  9.2977                   :                   35.0
36                       7.97176                  8.82269                  9.48465                  9.7209                   :                   36.0
37                       8.02423                  9.00417                  9.82399                  10.1476                  :               36.99999
38                       8.07541                  9.18332                  10.16358                 10.5777                  :               38.00001
39                       8.12536                  9.36026                  10.50336                 11.01103                 :               39.00001
40                       8.17414                  9.53512                  10.8433                  11.44745                 :               40.00001
41                       8.22179                  9.70797                  11.1834                  11.88684                 :                   41.0
42                       8.26837                  9.87884                  11.52365                 12.32913                 :               41.99999
43                       8.31393                  10.04779                 11.86403                 12.77425                 :                   43.0
44                       8.35852                  10.21489                 12.20448                 13.2221                  :           43.999990000000004
45                       8.4022                   10.38021                 12.54499                 13.6726                  :                   45.0
46                       8.44498                  10.54384                 12.88554                 14.12563                 :               45.99999
47                       8.48692                  10.7058                  13.22613                 14.58114                 :               46.99999
48                       8.52804                  10.86615                 13.56674                 15.03906                 :           47.999990000000004
49                       8.56838                  11.02492                 13.90736                 15.49934                 :                   49.0
50                       8.60797                  11.18218                 14.24796                 15.96189                 :                   50.0
51                       8.64685                  11.33796                 14.58854                 16.42666                 :               51.00001
52                       8.68503                  11.49231                 14.92907                 16.89358                 :               51.99999
53                       8.72255                  11.64528                 15.26957                 17.3626                  :                   53.0
54                       8.75942                  11.79689                 15.61002                 17.83368                 :               54.00001
55                       8.79567                  11.94717                 15.9504                  18.30675                 :           54.999990000000004
56                       8.83133                  12.09618                 16.29072                 18.78178                 :               56.00001
57                       8.86642                  12.24393                 16.63095                 19.2587                  :                   57.0
58                       8.90095                  12.39048                 16.97109                 19.73749                 :           58.000009999999996
59                       8.93494                  12.53583                 17.31115                 20.21808                 :                   59.0
60                       8.96841                  12.68003                 17.65111                 20.70046                 :           60.000009999999996
61                       9.00137                  12.82309                 17.99097                 21.18456                 :           60.99999000000001
